"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"SB688","Limited liability companies; registered agent.","S76","Petersen","H14","Signed by Speaker","02/26/16","S02","Enrolled Bill Communicated to Governor on 3/1/16","03/01/16","","","Acts of Assembly Chapter text (CHAP0275)","03/07/16","N","Y","Y","Y","N","N","Y","N","SB688","01/20/16","SB688ER","02/26/16","CHAP0275","03/07/16","","","","","","","H5620","S7010","","G9998","CHAP0275","01/20/16","G9998"
"SB689","Common Interest Community Board; increases membership.","S76","Petersen","","","","S12","Continued to 2017 in General Laws and Technology (15-Y 0-N)","02/15/16","","","","","N","N","N","N","N","Y","N","N","SB689","01/20/16","","","","","","","","","","","","S1240","","","","01/20/16","S1240"
"SB690","Local tax officials; electronic dissemination of tax bills and tax documents.","S76","Petersen","H10","Signed by Speaker","02/29/16","S05","Governor's recommendation received by Senate","03/11/16","","","Governor's Action Deadline Midnight, March 11, 2016","03/04/16","N","Y","Y","Y","N","N","N","N","SB690","01/20/16","SB690ER","02/29/16","","","","","","","","","H5620","S7210","","G7010","","01/20/16","S7210"
"SB691","Industrial hemp; lawful for a person with a license to manufacture products or engage in research.","S93","Chafin","H01","Signed by Speaker","02/22/16","S01","Enrolled Bill Communicated to Governor on 2/22/16","02/22/16","","","Acts of Assembly Chapter text (CHAP0061)","02/29/16","N","Y","Y","Y","N","N","Y","N","SB691","01/20/16","SB691S1","02/04/16","SB691ER","02/22/16","CHAP0061","02/29/16","","","","","H5620","S7010","","G9998","CHAP0061","01/20/16","G9998"
"SB692","Conflicts of Interests Acts, State & Local Government & General Assembly, etc.; lobbyist reporting.","S26","Norment","H08","Signed by Speaker","03/25/16","S10","Enrolled Bill Communicated to Governor on 3/28/16","03/28/16","Amended by conference committee","03/11/16","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/28/16","N","Y","Y","Y","N","N","N","N","SB692","01/20/16","SB692S1","02/11/16","SB692ES1","02/15/16","SB692H1","03/02/16","SB692S2","03/11/16","SB692ER","03/25/16","H5620","S7010","C6038","G7010","","01/20/16","G7010"
"SB693","Transfers to the Port Opportunity Fund.","S90","Cosgrove","","","","S05","Incorporated by Finance (SB625-Alexander) (14-Y 0-N)","02/11/16","","","","","N","N","N","N","Y","N","N","N","SB693","01/20/16","","","","","","","","","","","","S0599","","","","01/20/16","S0599"
"SB694","Firearm, crossbow or bow and arrow; shooting in or across road or street, penalty.","S80","Marsden","","","","S03","Stricken at the request of Patron in Courts of Justice (13-Y 0-N)","01/27/16","","","","","N","N","N","N","Y","N","N","N","SB694","01/21/16","","","","","","","","","","","","S0381","","","","01/21/16","S0381"
"SB695","Alcoholic beverage control; wine and beer licenses for certain properties.","S62","Deeds","H11","Signed by Speaker","03/10/16","S09","Enrolled Bill Communicated to Governor on 3/11/16","03/11/16","","","Approved by Governor-Chapter 654 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","SB695","01/21/16","SB695ER","03/10/16","","","","","","","","","H5620","S7010","","G7050","","01/21/16","G7050"
"SB696","Medicare; supplement policies for individuals under age 65.","S62","Deeds","","","","S02","Continued to 2017 in Commerce and Labor (15-Y 0-N)","02/15/16","","","","","N","N","N","N","N","Y","N","N","SB696","01/21/16","SB696S1","02/15/16","","","","","","","","","","S0240","","","","01/21/16","S0240"
"SB697","Motorcycles; free use of toll facilities.","S19","Lucas","","","","S11","Passed by indefinitely in Transportation (13-Y 0-N)","02/03/16","","","","","N","N","N","N","Y","N","N","N","SB697","01/21/16","","","","","","","","","","","","S1190","","","","01/21/16","S1190"
"SB698","Dam Safety, Flood Prevention and Protection Assistance Fund; disbursement of moneys.","S91","Wexton","","","","S05","Continued to 2017 in Finance (13-Y 2-N)","02/09/16","","","","","N","N","N","N","N","Y","N","N","SB698","01/21/16","","","","","","","","","","","","S0540","","","","01/21/16","S0540"
"SB699","Concealed handgun permits, out-of-state; government-issued photo id., reciprocal agreements.","S84","Carrico","","","","S03","Incorporated by Courts of Justice (SB610-Reeves) (14-Y 0-N)","01/27/16","","","","","N","N","N","N","Y","N","N","N","SB699","01/21/16","","","","","","","","","","","","S0399","","","","01/21/16","S0399"
"SB700","Highway construction; effect of sea-level rise on projects.","S74","Miller","","","","S11","Failed to report (defeated) in Transportation (6-Y 7-N)","02/03/16","","","","","N","N","N","N","Y","N","N","N","SB700","01/21/16","","","","","","","","","","","","S1192","","","","01/21/16","S1192"
"SB701","Cannabidiol oil and THC-A oil; permitting of pharmaceutical processors to manufacture and provide.","S80","Marsden","H08","Signed by Speaker","03/10/16","S03","Enrolled Bill Communicated to Governor on 3/11/16","03/11/16","","","Approved by Governor-Chapter 577 (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","SB701","01/21/16","SB701S1","02/04/16","SB701S2","02/15/16","SB701H1","03/02/16","SB701ER","03/10/16","","","H5620","S7010","","G7050","","01/21/16","G7050"
"SB702","Bridge structures; attachment to locality, annual service fee.","S19","Lucas","","","","S11","Continued to 2017 in Transportation (13-Y 0-N)","02/03/16","","","","","N","N","N","N","N","Y","N","N","SB702","01/21/16","","","","","","","","","","","","S1140","","","","01/21/16","S1140"
"SB703","DMV; charges for information supplied to toll facility operators.","S19","Lucas","","","","S05","Continued to 2017 in Finance (15-Y 0-N)","02/11/16","","","","","N","N","N","N","N","Y","N","N","SB703","01/21/16","","","","","","","","","","","","S0540","","","","01/21/16","S0540"
"SB704","Overtime compensation; broadens definition of fire protection employees.","S19","Lucas","H11","Signed by Speaker","03/07/16","S12","Enrolled Bill Communicated to Governor on 3/11/16","03/11/16","","","Approved by Governor-Chapter 541 (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","SB704","01/21/16","SB704ER","03/07/16","","","","","","","","","H5620","S7010","","G7050","","01/21/16","G7050"
"SB705","Sanctuary cities; liability for certain injuries and damages caused by an illegal alien.","S83","Black","H08","Left in Courts of Justice","03/08/16","S07","Passed Senate (21-Y 19-N)","02/09/16","","","","","N","N","Y","N","Y","N","N","N","SB705","01/21/16","SB705S1","02/09/16","","","","","","","","","H0894","S5001","","","","01/21/16","H0894"
"SB706","FOIA; record exclusion for trade secrets submitted to Department of Mines, Minerals and Energy.","S93","Chafin","","","","S12","Stricken at request of Patron in General Laws and Technology (9-Y 0-N)","02/15/16","","","","","N","N","N","N","Y","N","N","N","SB706","01/21/16","","","","","","","","","","","","S1281","","","","01/21/16","S1281"
"SB707","Failure to appear; service of process.","S93","Chafin","H08","Signed by Speaker","02/29/16","S03","Enrolled Bill Communicated to Governor on 3/4/16","03/04/16","","","Acts of Assembly Chapter text (CHAP0354)","03/11/16","N","Y","Y","Y","N","N","Y","N","SB707","01/21/16","SB707ER","02/29/16","CHAP0354","03/11/16","","","","","","","H5620","S7010","","G9998","CHAP0354","01/21/16","G9998"
"SB708","State and Local Government Conflict of Interest Act; prohibited contracts; exceptions.","S47","Hanger","","","","S10","Incorporated by Rules (SB652-Lewis) (14-Y 0-N)","02/11/16","","","","","N","N","N","N","Y","N","N","N","SB708","01/21/16","","","","","","","","","","","","S1099","","","","01/21/16","S1099"
"SB709","Recalled motor vehicles; disclosures by and compensation of dealers.","S69","McDougle","H19","Signed by Speaker","03/01/16","S11","Enrolled Bill Communicated to Governor on 3/7/2016","03/07/16","","","Approved by Governor-Chapter 534 (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","SB709","01/21/16","SB709S1","02/03/16","SB709S2","02/10/16","SB709ER","03/01/16","","","","","H5620","S7010","","G7050","","01/21/16","G7050"
"SB710","Composition of the Washington Metropolitan Area Transit Authority Compact of 1966.","S85","Ebbin","H19","Signed by Speaker","03/04/16","S11","Enrolled Bill Communicated to Governor on 3/8/2016","03/08/16","","","Approved by Governor-Chapter 535  (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","SB710","01/21/16","SB710E","02/15/16","SB710ER","03/04/16","","","","","","","H5620","S7010","","G7050","","01/21/16","G7050"
"SB711","Women&apos;s Right to Vote, Commission for Commemoration of Centennial of; established.","S85","Ebbin","H02","Left in Appropriations","03/08/16","S05","Printed as engrossed 16103880D-E","02/12/16","","","","","N","N","Y","N","Y","N","N","N","SB711","01/21/16","SB711E","02/12/16","","","","","","","","","H0294","S4620","","","","01/21/16","H0294"
"SB712","Dental hygienists; remote supervision.","S69","McDougle","H12","Signed by Speaker","03/01/16","S04","Enrolled Bill Communicated to Governor on 3/7/2016","03/07/16","","","Approved by Governor-Chapter 497 (effective 7/1/16)","03/25/16","N","Y","Y","Y","N","N","Y","N","SB712","01/21/16","SB712ER","03/01/16","","","","","","","","","H5620","S7010","","G7050","","01/21/16","G7050"
"SB713","Concealed Carry Reciprocity Advisory Commission; established, report.","S47","Hanger","","","","S05","Left in Finance","02/17/16","","","","","N","N","N","N","Y","N","N","N","SB713","01/21/16","","","","","","","","","","","","S0594","","","","01/21/16","S0594"
"SB714","Alcoholic beverage control; privileges of distiller&apos;s license.","S87","Garrett","","","","S09","Incorporated by Rehabilitation and Social Services (SB536-Deeds) (12-Y 0-N)","02/05/16","","","","","N","N","N","N","Y","N","N","N","SB714","01/21/16","","","","","","","","","","","","S0999","","","","01/21/16","S0999"
"SB715","Firearms shows; voluntary background checks by Department of State Police, penalties.","S45","Edwards","H15","Signed by Speaker","02/22/16","S05","Enrolled Bill Communicated to Governor on 2/22/16","02/22/16","","","Acts of Assembly Chapter text (CHAP0044)","02/26/16","N","Y","Y","Y","N","N","Y","N","SB715","01/21/16","SB715S1","02/05/16","SB715ER","02/22/16","CHAP0044","02/26/16","","","","","H5620","S7010","","G9998","CHAP0044","01/21/16","G9998"
"SB716","Firearm transfers; penalties.","S45","Edwards","","","","S03","Passed by indefinitely in Courts of Justice (9-Y 5-N)","02/10/16","","","","","N","N","N","N","Y","N","N","N","SB716","01/21/16","","","","","","","","","","","","S0390","","","","01/21/16","S0390"
"SB717","Vineyards and Orchards Grant Fund and Program; created and established.","S80","Marsden","H01","Continued to 2017 in Agriculture, Chesapeake and Natural Resources","02/24/16","S05","Read third time and passed Senate (36-Y 3-N)","02/12/16","","","","","N","N","Y","N","N","Y","N","N","SB717","01/21/16","SB717S1","01/28/16","SB717S2","02/09/16","","","","","","","H0140","S5000","","","","01/21/16","H0140"
