"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"HB1","Interstate 66; tolls on existing components east of mile marker 67 prohibited.","H223","LeMunyon","H02","Left in Appropriations","02/18/16","","","","","","","","N","N","N","N","Y","N","N","N","HB1","11/16/15","HB1H1","02/09/16","","","","","","","","","H0294","","","","","11/16/15","H0294"
"HB2","Clean Power Plan; state implementation plan, General Assembly approval.","H242","O'Quinn","H14","Enrolled Bill communicated to Governor on 3/9/2016","03/09/16","S05","Signed by President","03/09/16","","","Vetoed by Governor","03/25/16","N","Y","Y","Y","N","N","N","Y","HB2","11/16/15","HB2ER","03/07/16","","","","","","","","","H7010","S5620","","G7900","","11/16/15","G7900"
"HB3","Constitutional amendment; charter schools (submitting to qualified voters).","H139","Bell, Robert B.","H18","VOTE: PASSAGE (50-Y 48-N)","02/15/16","S08","Failed to report (defeated) in Privileges and Elections (5-Y 7-N 1-A)","02/23/16","","","","","N","Y","N","N","Y","N","N","N","HB3","11/16/15","","","","","","","","","","","H9999","S0892","","","","11/16/15","S0892"
"HB4","Constitutional amendment; right to work (submitting to qualified voters).","H211","Bell, Richard P.","H18","Enrolled Bill communicated to Governor on 2/17/16","02/17/16","S08","Signed by President","02/16/16","","","Acts of Assembly Chapter text (CHAP0012)","02/24/16","N","Y","Y","Y","N","N","Y","N","HB4","11/16/15","HB4ER","02/16/16","CHAP0012","02/24/16","","","","","","","H7010","S5620","","G9998","CHAP0012","11/16/15","G9998"
"HB5","Same-sex marriages; civil unions.","H264","Simon","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB5","11/16/15","","","","","","","","","","","H0894","","","","","11/16/15","H0894"
"HB6","Campaign Finance Disclosure Act; unlawful conversion of political contributions to personal use.","H264","Simon","H18","Continued to 2017 in Privileges and Elections","02/05/16","","","","","","","","N","N","N","N","N","Y","N","N","HB6","11/16/15","","","","","","","","","","","H1840","","","","","11/16/15","H1840"
"HB7","Sick leave; certain private employers to provide employees with paid benefits.","H264","Simon","H14","Left in Commerce and Labor","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB7","11/16/15","","","","","","","","","","","H1494","","","","","11/16/15","H1494"
"HB8","Virginia Virtual School; Board established.","H211","Bell, Richard P.","H02","Enrolled Bill communicated to Governor on 3/28/16","03/28/16","S05","Signed by President","03/28/16","Amended by conference committee","03/11/16","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/28/16","N","Y","Y","Y","N","N","N","N","HB8","11/16/15","HB8H1","02/12/16","HB8H2","03/11/16","HB8ER","03/25/16","","","","","H7010","S5620","C6038","G7010","","11/16/15","G7010"
"HB9","Voter registration; required information on application form.","H142","Cole","H18","Enrolled Bill communicated to Governor on 3/7/16","03/07/16","S08","Signed by President","03/05/16","","","Vetoed by Governor","03/23/16","N","Y","Y","Y","N","N","N","Y","HB9","11/16/15","HB9E","02/09/16","HB9ER","03/02/16","","","","","","","H7010","S5620","","G7900","","11/16/15","G7900"
"HB10","Motorcycles; general illumination lights.","H142","Cole","H19","Enrolled Bill communicated to Governor on 2/25/16","02/25/16","S11","Signed by President","02/25/16","","","Acts of Assembly Chapter text (CHAP0195)","03/01/16","N","Y","Y","Y","N","N","Y","N","HB10","11/16/15","HB10ER","02/24/16","CHAP0195","03/01/16","","","","","","","H7010","S5620","","G9998","CHAP0195","11/16/15","G9998"
"HB11","Gift certificates; prohibited practices by merchant issuing certificate issued in the Commonwealth.","H142","Cole","H14","Left in Commerce and Labor","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB11","11/16/15","","","","","","","","","","","H1494","","","","","11/16/15","H1494"
"HB12","Concealed handgun permits, out-of-state; photo identification.","H124","Ware","H15","Incorporated by Militia, Police and Public Safety (HB1163-Webert)","02/05/16","","","","","","","","N","N","N","N","Y","N","N","N","HB12","11/16/15","","","","","","","","","","","H1599","","","","","11/16/15","H1599"
"HB13","Primaries; reimbursement of cost to localities by proper political party committee.","H124","Ware","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB13","11/16/15","","","","","","","","","","","H1894","","","","","11/16/15","H1894"
"HB14","Columbia, Town of; repealing charter for town.","H124","Ware","H07","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S07","Signed by President","03/04/16","","","Acts of Assembly Chapter text (CHAP0310)","03/07/16","N","Y","Y","Y","N","N","Y","N","HB14","11/16/15","HB14ER","03/01/16","CHAP0310","03/07/16","","","","","","","H7010","S5620","","G9998","CHAP0310","11/16/15","G9998"
"HB15","Personal property tax; classifications.","H124","Ware","H10","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S05","Signed by President","03/04/16","","","Approved by Governor-Chapter 483 (effective 7/1/16)","03/25/16","N","Y","Y","Y","N","N","Y","N","HB15","11/16/15","HB15ER","03/01/16","","","","","","","","","H7010","S5620","","G7050","","11/16/15","G7050"
"HB16","Health insurance; payment for services by dentists and oral surgeons.","H124","Ware","H14","Enrolled Bill communicated to Governor on 3/9/2016","03/09/16","S02","Signed by President","03/09/16","","","Approved by Governor-Chapter 556 (effective 1/1/17)","03/29/16","N","Y","Y","Y","N","N","Y","N","HB16","11/16/15","HB16E","01/26/16","HB16ER","03/07/16","","","","","","","H7010","S5620","","G7050","","11/16/15","G7050"
"HB17","Industrial waste and sewage sludge; disclosure of storage or land application on property.","H124","Ware","H01","Left in Agriculture, Chesapeake and Natural Resources","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB17","11/16/15","","","","","","","","","","","H0194","","","","","11/16/15","H0194"
"HB18","Franchisees; status thereof and its employees as employees of the franchisor.","H237","Head","H14","Enrolled Bill communicated to Governor on 3/11/16","03/11/16","S02","Signed by President","03/04/16","","","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/11/16","N","Y","Y","Y","N","N","N","N","HB18","11/16/15","HB18ER","03/01/16","","","","","","","","","H7010","S5620","","G7010","","11/16/15","G7010"
"HB19","Ministers or other persons authorized to celebrate rites of matrimony; no oath required.","H237","Head","H08","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S03","Signed by President","03/05/16","","","Approved by Governor-Chapter 611 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","HB19","11/16/15","HB19E","02/08/16","HB19ER","03/02/16","","","","","","","H7010","S5620","","G7050","","11/16/15","G7050"
"HB20","Peanuts; extends sunset provision to July 1, 2021, of excise tax on those grown and sold in Va.","H48","Ingram","H01","Enrolled Bill communicated to Governor on 02/25/16","02/25/16","S01","Signed by President","02/25/16","","","Acts of Assembly Chapter text (CHAP0165)","03/01/16","N","Y","Y","Y","N","N","Y","N","HB20","11/16/15","HB20ER","02/24/16","CHAP0165","03/01/16","","","","","","","H7010","S5620","","G9998","CHAP0165","11/16/15","G9998"
"HB21","Retail Sales and Use Tax; exemption for certain nonprofit veteran entities.","H236","Farrell","H10","Left in Finance","02/17/16","","","","","","","","N","N","N","N","Y","N","N","N","HB21","11/16/15","","","","","","","","","","","H1094","","","","","11/16/15","H1094"
"HB22","Income tax, state; sunset provision for tax credit for contributions to political candidates.","H236","Farrell","H10","Enrolled Bill communicated to Governor on 2/22/16","02/22/16","S05","Signed by President","02/22/16","","","Acts of Assembly Chapter text (CHAP0050)","02/29/16","N","Y","Y","Y","N","N","Y","N","HB22","11/16/15","HB22ER","02/22/16","CHAP0050","02/29/16","","","","","","","H7010","S5620","","G9998","CHAP0050","11/16/15","G9998"
"HB23","Fuels tax; refunds of taxes to certain nonprofit entities.","H236","Farrell","H10","Enrolled Bill communicated to Governor on 2/19/16","02/19/16","S05","Signed by President","02/19/16","","","Acts of Assembly Chapter text (CHAP0034)","02/26/16","N","Y","Y","Y","N","N","Y","N","HB23","11/16/15","HB23E","02/03/16","HB23ER","02/19/16","CHAP0034","02/26/16","","","","","H7010","S5620","","G9998","CHAP0034","11/16/15","G9998"
"HB24","Charter; Town of South Hill.","H136","Wright","H07","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S07","Signed by President","03/04/16","","","Acts of Assembly Chapter text (CHAP0311)","03/07/16","N","Y","Y","Y","N","N","Y","N","HB24","11/17/15","HB24ER","03/01/16","CHAP0311","03/07/16","","","","","","","H7010","S5620","","G9998","CHAP0311","11/17/15","G9998"
"HB25","Firefighting equipment or emergency medical services vehicle; penalty for tampering with, etc.","H232","Habeeb","H08","Enrolled Bill communicated to Governor on 3/28/16","03/28/16","S03","Signed by President","03/28/16","Amended by conference committee","03/10/16","Approved by Governor-Chapter 687 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","HB25","11/17/15","HB25H1","01/27/16","HB25ER","03/25/16","","","","","","","H7010","S5620","C6038","G7050","","11/17/15","G7050"
"HB26","Congressional and state legislative districts; standards and criteria for drawing districts.","H269","Sullivan","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB26","11/17/15","","","","","","","","","","","H1894","","","","","11/17/15","H1894"
"HB27","Local fiscal impact bills; first-day introduction.","H124","Ware","H20","Tabled in Rules","01/28/16","","","","","","","","N","N","N","N","Y","N","N","N","HB27","11/17/15","","","","","","","","","","","H2098","","","","","11/17/15","H2098"
"HB28","Qualified equity and subordinated debt investments tax credit; sunset provision.","H236","Farrell","H10","Left in Finance","02/17/16","","","","","","","","N","N","N","N","Y","N","N","N","HB28","11/18/15","","","","","","","","","","","H1094","","","","","11/18/15","H1094"
"HB29","Budget Bill.","H120","Jones","H02","Bill text as passed House and Senate reprinted (HB29ER)","03/30/16","S05","Signed by President","03/28/16","","","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/28/16","N","Y","Y","Y","N","N","N","N","B20161A","12/17/15","B20161B","03/25/16","B20161B","03/30/16","","","","","","","H5603","S5620","","G7010","","12/17/15","H5603"
"HB30","Budget Bill.","H120","Jones","H02","Enrolled Bill communicated to Governor on 3/28/16","03/28/16","S05","Signed by President","03/28/16","","","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/28/16","N","Y","Y","Y","N","N","N","N","B201611","12/17/15","B201612","03/25/16","","","","","","","","","H7010","S5620","","G7010","","12/17/15","G7010"
"HB31","Automobile, commercial liability, and homeowners insurance policies; notices.","H195","Miller","H14","Enrolled Bill communicated to Governor on 2/16/16","02/16/16","S02","Signed by President","02/15/16","","","Acts of Assembly Chapter text (CHAP0004)","02/23/16","Y","Y","Y","Y","N","N","Y","N","HB31","11/18/15","HB31ER","02/15/16","CHAP0004","02/23/16","","","","","","","H7010","S5620","","G9998","CHAP0004","11/18/15","G9998"
"HB32","Voter identification; accepted forms of identification.","H269","Sullivan","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB32","11/19/15","","","","","","","","","","","H1894","","","","","11/19/15","H1894"
"HB33","Small businesses; parental leave tax credit.","H236","Farrell","H10","Left in Finance","02/17/16","","","","","","","","N","N","N","N","Y","N","N","N","HB33","11/20/15","","","","","","","","","","","H1094","","","","","11/20/15","H1094"
"HB34","Motor vehicle safety inspections; appointments.","H236","Farrell","H19","VOTE: BLOCK VOTE PASSAGE (99-Y 0-N)","01/27/16","S11","Passed by indefinitely in Transportation with letter (12-Y 0-N)","03/02/16","","","","","N","Y","N","N","Y","N","N","N","HB34","11/20/15","","","","","","","","","","","H9999","S1197","","","","11/20/15","S1197"
"HB35","Hate crimes; reporting to State Police.","H269","Sullivan","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB35","11/20/15","","","","","","","","","","","H0894","","","","","11/20/15","H0894"
"HB36","Government courses at public high schools; civics portion of the U.S. Naturalization Test.","H211","Bell, Richard P.","H09","Governor's recommendation received by House","03/29/16","S04","Signed by President","03/06/16","","","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/07/16","N","Y","Y","Y","N","N","N","N","HB36","11/20/15","HB36ER","03/03/16","","","","","","","","","H7210","S5620","","G7010","","11/20/15","H7210"
"HB37","Towing motor vehicles; companion animals.","H222","Kory","H19","Left in Transportation","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB37","11/23/15","","","","","","","","","","","H1994","","","","","11/23/15","H1994"
"HB38","Civil immunity; forcible entry of motor vehicle to remove unattended companion animal.","H222","Kory","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB38","11/23/15","","","","","","","","","","","H0894","","","","","11/23/15","H0894"
"HB39","Court reporters; indigent persons in a civil case.","H56","Kilgore","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB39","11/23/15","","","","","","","","","","","H0894","","","","","11/23/15","H0894"
"HB40","Public safety answering points; deployment of text-to-9-1-1.","H222","Kory","H14","Continued to 2017 in Commerce and Labor","02/11/16","","","","","","","","N","N","N","N","N","Y","N","N","HB40","11/23/15","","","","","","","","","","","H1440","","","","","11/23/15","H1440"
"HB41","Thomas Jefferson Scenic Byway Loop; Virginia byway designation.","H56","Kilgore","H19","Enrolled Bill communicated to Governor on 3/11/16","03/11/16","S11","Signed by President","03/10/16","","","Approved by Governor-Chapter 601 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","HB41","11/23/15","HB41ER","03/08/16","","","","","","","","","H7010","S5620","","G7050","","11/23/15","G7050"
"HB42","Spousal support awards; limit duration.","H142","Cole","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB42","11/23/15","","","","","","","","","","","H0894","","","","","11/23/15","H0894"
"HB43","Abortion; removes requirement that a woman undergo ultrasound prior to procedure.","H173","Ward","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB43","11/24/15","","","","","","","","","","","H0894","","","","","11/24/15","H0894"
"HB44","Workers&apos; compensation; injuries or deaths presumed to be in course of employment.","H232","Habeeb","H14","Enrolled Bill communicated to Governor on 3/4/16","03/04/16","S02","Signed by President","03/03/16","","","Acts of Assembly Chapter text (CHAP0358)","03/11/16","N","Y","Y","Y","N","N","Y","N","HB44","11/24/15","HB44H1","02/09/16","HB44ER","02/29/16","CHAP0358","03/11/16","","","","","H7010","S5620","","G9998","CHAP0358","11/24/15","G9998"
"HB45","Payday loan offices and motor vehicle title loan offices; distance from casino facility.","H281","Krizek","H14","Left in Commerce and Labor","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB45","11/24/15","","","","","","","","","","","H1494","","","","","11/24/15","H1494"
"HB46","School Readiness Committee; Secretary of Education, et al., shall establish, increases membership.","H218","Greason","H09","Enrolled Bill communicated to Governor on 3/28/16","03/28/16","S04","Signed by President","03/28/16","Amended by conference committee","03/11/16","Approved by Governor-Chapter 652 (effective 7/1/16)","04/01/16","N","Y","Y","Y","N","N","Y","N","HB46","11/25/15","HB46H1","02/10/16","HB46S1","03/03/16","HB46H2","03/11/16","HB46ER","03/25/16","","","H7010","S5620","C6038","G7050","","11/25/15","G7050"
"HB47","Mixed-Delivery Preschool Fund and Grant Program; established, report, sunset provision.","H218","Greason","H02","Enrolled Bill communicated to Governor on 3/11/16","03/11/16","S05","Signed by President","03/10/16","","","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/11/16","N","Y","Y","Y","N","N","N","N","HB47","11/25/15","HB47S1","03/02/16","HB47ER","03/08/16","","","","","","","H7010","S5620","","G7010","","11/25/15","G7010"
"HB48","Forfeiture of property used in connection with the commission of crimes; finding of guilt required.","H142","Cole","H08","VOTE: DEFEATED (47-Y 50-N)","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB48","11/25/15","HB48H1","02/12/16","","","","","","","","","H9999","","","","","11/25/15","H9999"
"HB49","Right to keep & bear arms; codifies opinion of Supreme Court of U.S. in D.C. v. Heller.","H142","Cole","H08","Stricken from docket by Courts of Justice","02/10/16","","","","","","","","N","N","N","N","Y","N","N","N","HB49","11/25/15","","","","","","","","","","","H0893","","","","","11/25/15","H0893"
"HB50","Passing stopped school buses; mailing of summons to owner of vehicle.","H222","Kory","H19","Tabled in Transportation","01/26/16","","","","","","","","N","N","N","N","Y","N","N","N","HB50","11/25/15","","","","","","","","","","","H1998","","","","","11/25/15","H1998"
"HB51","Weapons other than handguns; purchase by certain officers.","H195","Miller","H15","Enrolled Bill communicated to Governor on 2/25/16","02/25/16","S03","Signed by President","02/25/16","","","Acts of Assembly Chapter text (CHAP0196)","03/01/16","N","Y","Y","Y","N","N","Y","N","HB51","11/28/15","HB51ER","02/24/16","CHAP0196","03/01/16","","","","","","","H7010","S5620","","G9998","CHAP0196","11/28/15","G9998"
"HB52","Structured Settlement Protection Act; amends Act so obligor and issuer may rely on court order.","H56","Kilgore","H14","Governor's recommendation received by House","03/11/16","S02","Signed by President","03/03/16","","","Governor's Action Deadline Midnight, March 11, 2016","03/04/16","N","Y","Y","Y","N","N","N","N","HB52","11/30/15","HB52H1","01/19/16","HB52ER","02/29/16","","","","","","","H7210","S5620","","G7010","","11/30/15","H7210"
"HB53","Juvenile offenders; sentence modification procedure.","H266","Rasoul","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB53","11/30/15","","","","","","","","","","","H0894","","","","","11/30/15","H0894"
"HB54","False representation of military status; stolen valor, penalty.","H148","Lingamfelter","H08","Incorporated by Courts of Justice (HB1319-Collins)","02/10/16","","","","","","","","N","N","N","N","Y","N","N","N","HB54","11/30/15","","","","","","","","","","","H0899","","","","","11/30/15","H0899"
"HB55","Health benefit plans; large and small employers.","H237","Head","H14","Tabled in Commerce and Labor","01/14/16","","","","","","","","Y","N","N","N","Y","N","N","N","HB55","12/01/15","","","","","","","","","","","H1498","","","","","12/01/15","H1498"
"HB56","Elections; absentee voting by persons age 70 or older.","H222","Kory","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB56","12/02/15","","","","","","","","","","","H1894","","","","","12/02/15","H1894"
"HB57","Student attendance; withdrawal of students absent without excuse.","H222","Kory","H09","Left in Education","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB57","12/02/15","HB57H1","02/10/16","","","","","","","","","H0994","","","","","12/02/15","H0994"
"HB58","Health benefit plans; large and small   employers.","H115","Byron","H14","Enrolled Bill communicated to Governor on 1/20/2016","01/20/16","S02","Signed by President","01/19/16","","","Acts of Assembly Chapter text (CHAP0001)","01/26/16","Y","Y","Y","Y","N","N","Y","N","HB58","12/03/15","HB58ER","01/19/16","CHAP0001","01/26/16","","","","","","","H7010","S5620","","G9998","CHAP0001","12/03/15","G9998"
"HB59","Certificate of public need; definition of medical care facility.","H115","Byron","H12","Left in Health, Welfare and Institutions","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB59","12/03/15","","","","","","","","","","","H1294","","","","","12/03/15","H1294"
"HB60","Income tax, state; subtraction for National Guard pay.","H259","Fowler","H10","Continued to 2017 in Finance","02/08/16","","","","","","","","N","N","N","N","N","Y","N","N","HB60","12/03/15","","","","","","","","","","","H1040","","","","","12/03/15","H1040"
"HB61","Virginia Freedom of Information Act; misdemeanor violations, penalty.","H241","Morris","H11","Left in General Laws","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB61","12/04/15","","","","","","","","","","","H1194","","","","","12/04/15","H1194"
"HB62","Milk production; exemptions from certain requirements.","H241","Morris","H01","Left in Agriculture, Chesapeake and Natural Resources","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB62","12/04/15","","","","","","","","","","","H0194","","","","","12/04/15","H0194"
"HB63","Retail Sales and Use Tax; exemption for certain nonprofit entities.","H148","Lingamfelter","H10","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S05","Signed by President","03/04/16","","","Approved by Governor-Chapter 487 (effective 7/1/16)","03/25/16","N","Y","Y","Y","N","N","Y","N","HB63","12/04/15","HB63E","02/10/16","HB63ER","03/01/16","","","","","","","H7010","S5620","","G7050","","12/04/15","G7050"
"HB64","Transmission of case papers to appellate court, etc.; acceptability of electronic case papers.","H56","Kilgore","H08","Enrolled Bill communicated to Governor on 3/11/16","03/11/16","S05","Signed by President","03/10/16","","","Approved by Governor-Chapter 612  (effective 1/1/17)","04/01/16","N","Y","Y","Y","N","N","Y","N","HB64","12/04/15","HB64H1","02/03/16","HB64ER","03/08/16","","","","","","","H7010","S5620","","G7050","","12/04/15","G7050"
"HB65","Bedford; references to the former city of Bedford.","H253","Austin","H07","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S07","Signed by President","03/04/16","","","Acts of Assembly Chapter text (CHAP0312)","03/07/16","N","Y","Y","Y","N","N","Y","N","HB65","12/04/15","HB65ER","03/01/16","CHAP0312","03/07/16","","","","","","","H7010","S5620","","G9998","CHAP0312","12/04/15","G9998"
"HB66","New Economy Workforce Credential Grant Fund & Program; established.","H115","Byron","H09","Enrolled Bill communicated to Governor on 3/8/2016","03/08/16","S04","Signed by President","03/07/16","","","Acts of Assembly Chapter text (CHAP0326)","03/10/16","N","Y","Y","Y","N","N","Y","N","HB66","12/04/15","HB66H1","02/10/16","HB66EH1","02/12/16","HB66ER","03/04/16","CHAP0326","03/10/16","","","H7010","S5620","","G9998","CHAP0326","12/04/15","G9998"
"HB67","Voter registration; automatic voter registration.","H269","Sullivan","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB67","12/06/15","","","","","","","","","","","H1894","","","","","12/06/15","H1894"
"HB68","Elections; early voting.","H269","Sullivan","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB68","12/06/15","","","","","","","","","","","H1894","","","","","12/06/15","H1894"
"HB69","Health insurance; credits for retired school division employees.","H207","McQuinn","H02","Left in Appropriations","02/18/16","","","","","","","","N","N","N","N","Y","N","N","N","HB69","12/07/15","","","","","","","","","","","H0294","","","","","12/07/15","H0294"
"HB70","Warrants; issuance of arrest warrants for law-enforcement officers.","H195","Miller","H08","Enrolled Bill communicated to Governor on 3/4/16","03/04/16","S03","Signed by President","03/03/16","","","Vetoed by Governor","03/11/16","N","Y","Y","Y","N","N","N","Y","HB70","12/07/15","HB70E","02/08/16","HB70S1","02/22/16","HB70ER","02/29/16","","","","","H7010","S5620","","G7900","","12/07/15","G7900"
"HB71","Standards of Learning assessments; receipt and administration date.","H236","Farrell","H09","Stricken from docket by Education","01/27/16","","","","","","","","N","N","N","N","Y","N","N","N","HB71","12/07/15","","","","","","","","","","","H0993","","","","","12/07/15","H0993"
"HB72","Health benefit plans; large and small employers.","H134","O'Bannon","H14","Tabled in Commerce and Labor","01/14/16","","","","","","","","Y","N","N","N","Y","N","N","N","HB72","12/07/15","","","","","","","","","","","H1498","","","","","12/07/15","H1498"
"HB73","Driving while texting; fines.","H134","O'Bannon","H19","Left in Transportation","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB73","12/07/15","","","","","","","","","","","H1994","","","","","12/07/15","H1994"
"HB74","Drug offenses, misdemeanor; expungement of records.","H255","Campbell","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB74","12/07/15","","","","","","","","","","","H0894","","","","","12/07/15","H0894"
"HB75","Reckless driving; right to appeal.","H255","Campbell","H08","Continued to 2017 in Courts of Justice","01/27/16","","","","","","","","N","N","N","N","N","Y","N","N","HB75","12/07/15","","","","","","","","","","","H0840","","","","","12/07/15","H0840"
"HB76","Concealed handguns; authorization and training for persons designated to carry on school property.","H57","Marshall, R.G.","H09","Left in Education","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB76","12/07/15","","","","","","","","","","","H0994","","","","","12/07/15","H0994"
"HB77","Sex or gender discrimination; applicable federal law.","H57","Marshall, R.G.","H11","Left in General Laws","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB77","12/07/15","","","","","","","","","","","H1194","","","","","12/07/15","H1194"
"HB78","Failure to drive on right side of highways or observe traffic lanes; penalties.","H242","O'Quinn","H19","Left in Transportation","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB78","12/07/15","","","","","","","","","","","H1994","","","","","12/07/15","H1994"
"HB79","Concealed handguns; possession by full-time faculty members at higher educational institutions.","H57","Marshall, R.G.","H09","Left in Education","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB79","12/07/15","","","","","","","","","","","H0994","","","","","12/07/15","H0994"
"HB80","Property certified as tax exempt; effective date of tax exemption.","H115","Byron","H10","Enrolled Bill communicated to Governor on 2/19/16","02/19/16","S05","Signed by President","02/19/16","","","Acts of Assembly Chapter text (CHAP0035)","02/26/16","N","Y","Y","Y","N","N","Y","N","HB80","12/08/15","HB80ER","02/19/16","CHAP0035","02/26/16","","","","","","","H7010","S5620","","G9998","CHAP0035","12/08/15","G9998"
"HB81","Foster care records; retention and destruction.","H142","Cole","H12","Tabled in Health, Welfare and Institutions","01/21/16","","","","","","","","N","N","N","N","Y","N","N","N","HB81","12/08/15","","","","","","","","","","","H1298","","","","","12/08/15","H1298"
"HB82","Elections; changes definition of 'party' or 'political party.'","H266","Rasoul","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB82","12/09/15","","","","","","","","","","","H1894","","","","","12/09/15","H1894"
"HB83","Federal firearms laws; enforcement.","H57","Marshall, R.G.","H02","Left in Appropriations","02/18/16","","","","","","","","N","N","N","N","Y","N","N","N","HB83","12/10/15","","","","","","","","","","","H0294","","","","","12/10/15","H0294"
"HB84","Capital cases; sentencing defendant, jury instructions.","H57","Marshall, R.G.","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB84","12/10/15","","","","","","","","","","","H0894","","","","","12/10/15","H0894"
"HB85","Cigarettes; levying of taxes by counties.","H255","Campbell","H10","Left in Finance","02/17/16","","","","","","","","N","N","N","N","Y","N","N","N","HB85","12/10/15","","","","","","","","","","","H1094","","","","","12/10/15","H1094"
"HB86","VIEW; pilot program for substance abuse screening and assessment.","H241","Morris","H12","Left in Health, Welfare and Institutions","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB86","12/10/15","","","","","","","","","","","H1294","","","","","12/10/15","H1294"
"HB87","Health Insurance Reform Commission; assessments of legislation.","H115","Byron","H14","Enrolled Bill communicated to Governor on 3/9/2016","03/09/16","S02","Signed by President","03/09/16","","","Approved by Governor-Chapter 570 (effective 7/1/16)","03/29/16","N","Y","Y","Y","N","N","Y","N","HB87","12/10/15","HB87H1","01/26/16","HB87ER","03/07/16","","","","","","","H7010","S5620","","G7050","","12/10/15","G7050"
"HB88","General registrars and members of electoral boards; annual  training, office closures for training.","H142","Cole","H18","Enrolled Bill communicated to Governor on 2/17/16","02/17/16","S08","Signed by President","02/16/16","","","Acts of Assembly Chapter text (CHAP0013)","02/24/16","N","Y","Y","Y","N","N","Y","N","HB88","12/10/15","HB88ER","02/16/16","CHAP0013","02/24/16","","","","","","","H7010","S5620","","G9998","CHAP0013","12/10/15","G9998"
"HB89","Unmanned aircraft system; use during commission of a  crime, penalty.","H142","Cole","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB89","12/10/15","","","","","","","","","","","H0894","","","","","12/10/15","H0894"
